[3997] RAMOS V. A., KAY S. M. ; TRIASSIC RIFTING AND ASSOCIATED BASALTS IN THE CUYO BASIN, CENTRAL ARGENTINA ; SPEC. PAP. GEOL. SOC. AM. 265 [1991] 79-91
[3998] VERGARA M. M., LOPEZ-ESCOBAR L., CANCINO A., LEVI B. ; THE PICHIDANGUI FORMATION: SOME GEOCHEMICAL CHARACTERISTICS AND TECTONIC IMPLICATIONS OF THE TRIASSIC MARINE VOLCANISM IN CENTRAL CHILE (31°55' TO 32°20' S) ; SPEC. PAP. GEOL. SOC. AM. 265 [1991] 93-98
[3999] PARADA M. A., LEVI B., NYSTROM J. O. ; GEOCHEMISTRY OF THE TRIASSIC TO JURASSIC PLUTONISM OF CENTRAL CHILE (30 TO 33°S): PETROGENETIC IMPLICATIONS AND A TECTONIC DISCUSSION ; SPEC. PAP. GEOL. SOC. AM. 265 [1991] 99-112
[4000] WALKER J. A., MOULDS T. N., ZENTILLI M., FEIGENSON M. D. ; SPATIAL AND TEMPORAL VARIATIONS IN VOLCANICS OF THE ANDEAN CENTRAL VOLCANIC ZONE (26 TO 28°S) ; SPEC. PAP. GEOL. SOC. AM. 265 [1991] 139-155
[4001] BROWN M. ; COMPARATIVE GEOCHEMICAL INTERPRETATION OF PERMIAN-TRIASSIC PLUTONIC COMPLEXES OF THE COASTAL RANGE AND ALTIPLANO (25°30' TO 26°30'S), NORTHERN CHILE ; SPEC. PAP. GEOL. SOC. AM. 265 [1991] 157-177
[4003] DERUELLE B. ; PETROLOGY OF QUATERNARY SHOSHONITIC LAVAS OF NORTHWESTERN ARGENTINA ; SPEC. PAP. GEOL. SOC. AM. 265 [1991] 201-216
[4004] DE SILVA S. L. ; STYLES OF ZONING IN CENTRAL ANDEAN IGNIMBRITES: INSIGHTS INTO MAGMA CHAMBER PROCESSES ; SPEC. PAP. GEOL. SOC. AM. 265 [1991] 217-232
[4006] KRAEMER B. ; A GEOCHEMICAL TRAVERSE ACROSS THE MIDDLE MIOCENE MAGMATIC ARC IN THE SOUTHERN PART OF THE CENTRAL VOLCANIC ZONE OF THE ANDES (ZVZ, 25°-26°30°S, 67°30'-69°W) ; BERLINER GEOWISS. ABH. A 200 [1999] 1-174
[4043] LAVENU A., BONHOMME M. G., VATIN-PERIGNON N., DE PACHTERE P. ; NEOGENE MAGMATISM IN THE BOLIVIAN ANDES BETWEEN 16°S AND 18°S; STRATIGRAPHY AND K/AR GEOCHRONOLOGY ; J. S. AMER. EARTH SCI. 2 [1989] 35-47
[4053] LOPEZ-ESCOBAR L., FREY F. A., VERGARA M. M. ; ANDESITES AND HIGH-ALUMINA BASALTS FROM THE CENTRAL-SOUTH CHILE HIGH ANDES: GEOCHEMICAL EVIDENCE BEARING ON THEIR PETROGENESIS ; CONTRIB. MINERAL. PETROL. 63 [1977] 199-228
